uid,run_id,group,source_rule,seed,hypothesis,controlled_change,methods,metric,interpretation,note
A1,exp_A_capillary_seed42,capillary_primary,diverse_capillaries_in_lcc,42,H1+H2,edge_cost_with_fixed_capillary_sources,bfs|length|resistance|radius,front_1pct_overlap_with_bfs|front_1pct_overlap_with_radius,Low resistance-BFS overlap and BFS-like length overlap support H1; high resistance-radius overlap supports H2.,Primary capillary front run.
A2,exp_A_capillary_seed0,capillary_primary,diverse_capillaries_in_lcc,0,H1+H2,edge_cost_with_fixed_capillary_sources,bfs|length|resistance|radius,front_1pct_overlap_with_bfs|front_1pct_overlap_with_radius,Seed-robustness replicate.,Capillary seed replicate.
A3,exp_A_capillary_seed100,capillary_primary,diverse_capillaries_in_lcc,100,H1+H2,edge_cost_with_fixed_capillary_sources,bfs|length|resistance|radius,front_1pct_overlap_with_bfs|front_1pct_overlap_with_radius,Seed-robustness replicate.,Capillary seed replicate.
A4,exp_A_capillary_seed200,capillary_primary,diverse_capillaries_in_lcc,200,H1+H2,edge_cost_with_fixed_capillary_sources,bfs|length|resistance|radius,front_1pct_overlap_with_bfs|front_1pct_overlap_with_radius,Seed-robustness replicate.,Capillary seed replicate.
A5,exp_A_capillary_seed300,capillary_primary,diverse_capillaries_in_lcc,300,H1+H2,edge_cost_with_fixed_capillary_sources,bfs|length|resistance|radius,front_1pct_overlap_with_bfs|front_1pct_overlap_with_radius,Seed-robustness replicate.,Capillary seed replicate.
B1,exp_B_artery_seed42,artery_control,random_arteries_in_lcc,42,control,source_type_control_artery_sources,bfs|length|resistance|radius,front_1pct_overlap_with_bfs|front_1pct_overlap_with_radius,Source-type control: does the front effect also appear from artery starts?,Matched artery-control front run.
B2,exp_B_artery_seed0,artery_control,random_arteries_in_lcc,0,control,source_type_control_artery_sources,bfs|length|resistance|radius,front_1pct_overlap_with_bfs|front_1pct_overlap_with_radius,Seed-robustness replicate.,Matched artery-control front run.
B3,exp_B_artery_seed100,artery_control,random_arteries_in_lcc,100,control,source_type_control_artery_sources,bfs|length|resistance|radius,front_1pct_overlap_with_bfs|front_1pct_overlap_with_radius,Seed-robustness replicate.,Matched artery-control front run.
B4,exp_B_artery_seed200,artery_control,random_arteries_in_lcc,200,control,source_type_control_artery_sources,bfs|length|resistance|radius,front_1pct_overlap_with_bfs|front_1pct_overlap_with_radius,Seed-robustness replicate.,Matched artery-control front run.
B5,exp_B_artery_seed300,artery_control,random_arteries_in_lcc,300,control,source_type_control_artery_sources,bfs|length|resistance|radius,front_1pct_overlap_with_bfs|front_1pct_overlap_with_radius,Seed-robustness replicate.,Matched artery-control front run.
